NAME                                                                          VERSION                                TYPE                       
adduser                                                                       3.154                                  deb                         
aiofiles                                                                      25.1.0                                 python                      
aiohappyeyeballs                                                              2.6.1                                  python                      
aiohttp                                                                       3.13.5                                 python                      
aioice                                                                        0.10.2                                 python                      
aiosignal                                                                     1.4.0                                  python                      
apt                                                                           3.1.16+kali1                           deb                         
apt-transport-https                                                           3.1.16+kali1                           deb                         
apt-utils                                                                     3.1.16+kali1                           deb                         
attrs                                                                         26.1.0                                 python                      
autocommand                                                                   2.2.2                                  python     (+1 duplicate)   
av                                                                            17.0.0                                 python                      
backports-tarfile                                                             1.2.0                                  python                      
base-files                                                                    1:2026.1.1                             deb                         
base-passwd                                                                   3.6.8                                  deb                         
bash                                                                          5.3-2                                  deb                         
bcrypt                                                                        5.0.0                                  python                      
binutils                                                                      2.46-3                                 deb                         
binutils-common                                                               2.46-3                                 deb                         
binutils-x86-64-linux-gnu                                                     2.46-3                                 deb                         
blinker                                                                       1.9.0                                  python                      
breeze-cursor-theme                                                           4:6.6.3-2                              deb                         
bsdextrautils                                                                 2.41.3-4                               deb                         
bsdutils                                                                      1:2.41.3-4                             deb                         
bubblewrap                                                                    0.11.1-1                               deb                         
ca-certificates                                                               20260223                               deb                         
catatonit                                                                     0.2.1-2+b30                            deb                         
cffi                                                                          2.0.0                                  python                      
cli                                                                           UNKNOWN                                binary                      
cli-32                                                                        UNKNOWN                                binary                      
cli-64                                                                        UNKNOWN                                binary                      
cli-arm64                                                                     UNKNOWN                                binary                      
cloud.google.com/go/auth                                                      v0.18.0                                go-module                   
cloud.google.com/go/auth/oauth2adapt                                          v0.2.8                                 go-module                   
cloud.google.com/go/compute/metadata                                          v0.9.0                                 go-module                   
cloud.google.com/go/logging                                                   v1.13.2                                go-module                   
cloud.google.com/go/longrunning                                               v0.8.0                                 go-module                   
cmake                                                                         4.3.1-1                                deb                         
code.cloudfoundry.org/clock                                                   v1.60.0                                go-module                   
console-data                                                                  2:1.12-11                              deb                         
containerd.io                                                                 2.2.3-1~debian.12~bookworm             deb                         
coreutils                                                                     9.10-1                                 deb                         
cpp                                                                           4:15.2.0-5                             deb                         
cpp-15                                                                        15.2.0-16                              deb                         
cpp-15-x86-64-linux-gnu                                                       15.2.0-16                              deb                         
cpp-x86-64-linux-gnu                                                          4:15.2.0-5                             deb                         
cron                                                                          3.0pl1-206                             deb                         
cron-daemon-common                                                            3.0pl1-206                             deb                         
